NBa7we src,d4r55,RfnDt,eaLgGf,hCCjke,rsqaWe,wiI7pd,dSlJg,NlVald,dSlJg 2,NlVald 2,teks,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjWLi9ua0bMs-LWNMYRv51NTeMamPf2dsVQZeZl9VdXZRJIiULGA=w36-h36-p-rp-mo-ba2-br100,dian palupi respatiningdyah,Local Guide · 10 ulasan · 16 foto,,,5 bulan lalu,"Sangat tidak profesional. Pesan bulan maret langsung dilunasin, baru jadi bulan oktober. 7 bulan tidak ada kepastian, dikontak susah. Ditelp gak di jawab, di wa gak dibalas mgkin gak dibaca juga. Sangat mengecewakan. Sesampainya barang kardus rusak semua.",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocKpPKSZPjP05s03YCtWw1v1FC_GJuJgi3wROlImzSocnQXUKA=w36-h36-p-rp-mo-br100,Fildzah,1 ulasan · 1 foto,,,sebulan lalu,"Beli alat tatah buat tugas kulit di sini dan ternyata bagus banget!! Tatahnya tajam, enak dipake, kualitasnya juga mantap dan yg penting harganyaa pelajar able. Bapaknya juga baik banget dan responsnya cepet kalau ditanya tanyaa😭🫰seneng …",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocLF6OKkmNLCN1ifPOEnkFv0Vmf54fJwV0m-Mq4aUvNEdhNnBYY=w36-h36-p-rp-mo-ba3-br100,Ivonne Clausia,Local Guide · 23 ulasan · 61 foto,,,setahun lalu,"I placed an order a week in advance, they told me that the order would be ready in 1 day. But 2 days before the order was picked up, they did not respond to the chat. The day the order was to be picked up, I went to the workshop, the goods …",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUOx-1LvcBqFLmBLm4gb_TmtfOzY9LP_k-myj6jG7pd-XwYcJKm=w36-h36-p-rp-mo-ba5-br100,Felix Harry Purnomo Sumarto,Local Guide · 312 ulasan · 156 foto,,,2 bulan lalu,"Kualitas nya jauh dan pelayanan sangat buruk, tidak seperti apa yg ada di google semenjak di pegang oleh anaknya Semoga cepat"" Di perbaiki",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocJ3rPJNyeRRHyppvdRUc_HRbfrMUAgzAy40k1_jjJeVoqkVfg=w36-h36-p-rp-mo-br100,Kadarsih Siti,8 ulasan,,,5 bulan lalu,Kami memesan 3 minggu sebelum nya dan di janjikan barang selesai. Ternyata tidak sesuai dengan janjinya.pengerjaan nya buruk .hp tidak bisa di hubungi . Mengecewakan,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjUB8jb_KD5GWk5XpJrUfRrgOIRwSLKdZxxSkBU7WmAMm6KHdpRY=w36-h36-p-rp-mo-ba5-br100,Riski afrialam,Local Guide · 160 ulasan · 1.029 foto,,,Diedit 7 tahun lalu,"Semua tokoh wayang ada, kwalitas wayangnya juga bagus. Ga cuma wayang yang dijual disini, ada kerajinan yang lain. Pelayan nya juga sangat ramah",,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVjpiMR_ou57BOPba_AsUGnL5VU4ipIAsL8KA5Ao1eahb6ExgEn=w36-h36-p-rp-mo-ba4-br100,Eko Sulistyowati,Local Guide · 98 ulasan · 91 foto,,,2 tahun lalu,"Selalu memuaskan pesan di sini.. hasil rapi, elegan dan harga sesuai dengan kualitasnya. Terus berkarya njih pak👍 …",,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocJTvXUqiQ-wDTusBH_RluvhoTikW8T3LSK6NIZJGxeTxhJitA=w36-h36-p-rp-mo-br100,Wardani Kusuma,3 ulasan · 3 foto,,,3 bulan lalu,Kualitasnya produk terbaik dan bagus 😊 …,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXmBT1vwY6uHd6wE9hp9uJvxbcXclhqCfKqcwZXBwyXjmwxlmJ8=w36-h36-p-rp-mo-ba4-br100,Agus Sulistyo,Local Guide · 48 ulasan · 183 foto,,,2 tahun lalu,Menyediakan bermacam macam kerajinan kulit dan gamelan dengan harga bersaing,,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocLWdSBcr04BuT18Hr2RemSPGjFbVUhPSLTt8D51lWjPl-Znnw=w36-h36-p-rp-mo-br100,Alvika Ramadhani,2 ulasan,,,8 bulan lalu,"Pen holdernya kokoh dan elegan, pas buat meja kerja. Pelayanan cepat dan ramah, sangat memuaskan",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjVeK1wTfr_jYUwOl9R0jv10L4O7tIOz78eWuKPyU7x9TNhFL0bp=w36-h36-p-rp-mo-ba4-br100,Theodora Wijaya,Local Guide · 137 ulasan · 275 foto,,,3 tahun lalu,"Banyak pilihan wayang dan aksesoris untuk souvenir Harga wayang bersaing, kualitas baik",,Suka,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a-/ALV-UjXHMSaHi3Bti4MULF0wwpR0Y-iHKvMymvwFHV3F9e7_uRIjfdLg=w36-h36-p-rp-mo-ba2-br100,Alpine Gandar,Local Guide · 17 ulasan · 11 foto,,,2 tahun lalu,"Selamat Malam Mas, mas pesenan 10 plakat wayang saya gimana? Transaksi tokped udah selesai, janjianya dikirim resi dulu, nanti barang menyusul pake ekspedisi sampai minggu ini, tapi kok sampai hari minggu malam ngk ada kabar ya? Wa telp …",,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocJcZoAcVy3btX8Q1HsPEdtG3QZDOzG6ZxEr_6Ib0hO8A8OvIQ=w36-h36-p-rp-mo-br100,Gusdiniarko Burhan,2 ulasan,,,setahun lalu,Hati hati proses pembuatan lama akhirnya gagal kemudian proses refund lama setahun lebih tidak segera kembali uang saya,,,,Bagikan,,,,,,,,,
https://lh3.googleusercontent.com/a/ACg8ocJk2GCtrbuNfTecVf5YdfMfvAm3ubVutMjrKD9dpurBz9auxXQ=w36-h36-p-rp-mo-ba4-br100,Agus Pariyanto,Local Guide · 88 ulasan · 81 foto,,,6 tahun lalu,"Aneka wayang (kulit,kayu) berbagai ukuran dan gamelan jg tersedia di sini.",,Suka,,Bagikan,,,,,,,,,
